,Name,Hometown,High School,Year,sport
165,Jake LaRavia," Indianapolis, Ind.", Lawrence Central,2021,mens-basketball
167,Cameron Hildreth," Worthing, England", Surry Scorchers,2021,mens-basketball
170,Dallas Walton," Arvada, Colo.", Arvade West,2021,mens-basketball
171,Khadim  Sy," Dakar, Senegal", Oak Hill Academy,2021,mens-basketball
172,Lucas Taylor," Raleigh, N.C.", Heritage High School,2021,mens-basketball
173,Robert McCray," Columbia, S.C.", AC Flora,2021,mens-basketball
174,Damari Monsanto," Pembroke Pines, Fla.", Western High School ,2021,mens-basketball
175,Alondes Williams," Milwaukee, Wis.", Riverside High School,2021,mens-basketball
176,Matthew Marsh," Cornwall, England", ASVEL Lyon-Villeurbanne,2021,mens-basketball
177,RJ Kennah," Parker, Colo.", Kent Denver High School,2021,mens-basketball
179,Kevin Dunn," Winston-Salem, N.C.", Choate Rosemary Hall,2021,mens-basketball
183,Tyree Appleby," Jacksonville, Ark.", Jacksonville ,2022,mens-basketball
186,Jao Ituka," Gaithersburg, Maryland", Gaithersburg ,2022,mens-basketball
187,Andrew Carr," West Chester, Pa.", West Chester East ,2022,mens-basketball
189,Davion Bradford," St. Louis, Mo.", Mehlville ,2022,mens-basketball
190,Zach Keller," Highlands Ranch, Colo.", ThunderRidge,2022,mens-basketball
193,Bobi Klintman," Malmo, Sweden", Sunrise Christian Academy,2022,mens-basketball
195,Xiaolong Xu," Beijing, China"," Concord Academy, MA",2022,mens-basketball
198,Owen Kmety," Chicago, Ill.", La Lumiere High School,2022,mens-basketball
199,Kevin Miller," Chicago, Illinois", Victory Rock Prep (Fla.) ,2023,mens-basketball
200,Marqus Marion," Skovlunde, Denmark", BMS Herlev,2023,mens-basketball
202,Efton Reid III," Richmond, Virginia", IMG Academy ,2023,mens-basketball
203,Abramo Canka," Genoa, Italy", Istituto Paritario ,2023,mens-basketball
205,Aaron Clark," Easton, Pennsylvania", Brewster Academy,2023,mens-basketball
206,Parker Friedrichsen," Bixby, Oklahoma", Bixby High,2023,mens-basketball
207,Hunter Sallis," Omaha, Nebraska", Millard North ,2023,mens-basketball
213,Vincent Ricchiuti," San Diego, Calif.", St. Augustine High School,2023,mens-basketball
215,Will Underwood," Mahtomedi, Minn.", Mahtomedi High School,2023,mens-basketball
217,Lee Bedford,,,2011,mens-golf
218,Thomas Birdsey," Trophy Club, Texas", Southlake Carroll,2011,mens-golf
219,Justin Bryant,,,2011,mens-golf
220,Beau Cutts," Henderson, NC", Kerr-Vance Academy,2011,mens-golf
221,Franklin Dolan,,,2011,mens-golf
222,Charlie Harrison," Atlanta, Ga.", Whitefield Academy,2011,mens-golf
223,Evan Beck," Virginia Beach, Va.", Norfolk Academy,2012,mens-golf
