,Name,Hometown,High School,Year,sport
7,Katrina Durrwachter,"Emmaus, PA ", Emmaus HS,2017,cross-country
14,Sophie Lane,"Delmar, NY ", Bethlehem Central HS,2017,cross-country
26,Mikaela Vlasic,"Hatfield, PA ", North Penn HS,2017,cross-country
1,Emily Bonaventure,"Harleysville, PA ", Souderton Area HS,2018,cross-country
7,Devon Hoernlein,"Allentown, NJ ", Allentown HS,2018,cross-country
9,Camille Kukor,"Ann Arbor, MI ", Skyline HS,2018,cross-country
12,Mary McMahon,"Williamsport, PA ", Willamsport Area HS,2018,cross-country
13,Caelan Miller,"Pittsburgh, PA ", Fox Chapel HS,2018,cross-country
14,Megan Nagy,"Pittsburgh, PA ", Oakland Catholic HS,2018,cross-country
0,Brenda Ayuk,"Villa Rica, GA ", Alexander HS,2019,cross-country
1,Jenna Baltes,"Mount Prospect, IL ", Prospect HS,2019,cross-country
2,Caroline Bolen,"Purcellville, VA ", Loudoun Valley,2019,cross-country
4,Mary Borkoski,"Pearl River, NY ", Pearl River HS,2019,cross-country
7,Corinne Firestone,"New Cumberland, PA ", Cedar Cliff,2019,cross-country
9,Maura Gallagher,"Mount Laurel, NJ ", Bishop Eustace Prep,2019,cross-country
14,Lily Robertson,"Baltimore, MD ", Hereford,2019,cross-country
2,Caroline Beard,"Fairfax, VA ", James W. Robinson,2020,cross-country
6,Emily Brown,"Fredonia, NY ", Fredonia,2020,cross-country
13,Faith Min,"Mason, OH ", William Mason HS,2020,cross-country
16,Veronica Sanchez,"King of Prussia, PA ", Upper Merion HS,2020,cross-country
17,Talia Spillerman,"Sinking Spring, PA ", Wilson HS,2020,cross-country
18,Megan Thai,"Berea, OH ", Berea-Midpark,2020,cross-country
19,Carly Ukalovic,"Collegeville, PA ", Villa Maria Academy,2020,cross-country
20,Olivia Zambrio,"Scotch Plains, NJ ", Scotch Plains-Fanwood,2020,cross-country
12,Emily Jobes,"Bethlehem, PA ", Liberty,2021,cross-country
13,Rachel McKinnon,"Bloomsbury, NJ ", North Hunterdon Regional,2021,cross-country
14,Abby Michalec,"Ann Arbor, MI ", St. John's International School,2021,cross-country
17,Mya Rivenburg,"Waldorf, MD ", North Point,2021,cross-country
17,Allison Zolkiewicz,"Mount Airy, MD ", South Carroll,2022,cross-country
0,Jeremiah Davis,"Toledo, Ohio ", Toledo Technology Academy,2010,football
1,Ray Graham,"Elizabeth, N.J. ", Elizabeth,2010,football
2,Saheed Imoru,"Alief, Texas ", Alief Hastings,2010,football
3,Aaron Smith,"Monroeville, Pa. ", Gateway,2010,football
4,Andrew Janocko,"Clearfield, Pa. ", Clearfield Area,2010,football
5,Todd Thomas,"Beaver Falls, Pa. ", Beaver Falls,2010,football
6,Cameron Saddler,"Monroeville, Pa. ", Gateway,2010,football
7,Kevin Weatherspoon,"Clairton, Pa. ", Clairton,2010,football
8,Anthony Gonzalez,"Bethlehem, Pa. ", Liberty,2010,football
9,Pat Costello,"Greensburg, Pa. ", Hempfield Area,2010,football
10,Drake Greer,"Pittsburgh, Pa. ", Bishop Canevin,2010,football
11,Aundre Wright,"Pittsburgh, Pa. ", Milford Academy (NY,2010,football
12,Mark Myers,"Cleveland, Ohio ", St. Ignatius,2010,football
13,Tino Sunseri,"Pittsburgh, Pa. ", Pittsburgh Central Catholic,2010,football
14,Greg Cross,"Brunswick, Ga. ",,2010,football
15,Devin Street,"Bethlehem, Pa. ", Liberty,2010,football
16,Dan Cafaro,"Upper St. Clair, Pa. ", Upper St. Clair,2010,football
17,Joseph Lopez,"Upper Saddle River, N.J. ", Don Bosco Prep,2010,football
18,Salath Williams,"Harrisburg, Pa. ", Bishop McDevitt,2010,football
19,Jarred Holley,"Easton, Pa. ", Easton Area,2010,football
20,Pat Bostick,"Lancaster, Pa. ", Manheim Township,2010,football
21,Brandon Ifill,"Pittsburgh, Pa. ", Penn Hills,2010,football
22,Emanuel Rackard,"Belle Glade, Fla. ", Glades Central,2010,football
23,Jake Delmonico,"Beaver Falls, Pa. ", Blackhawk,2010,football
24,Buddy Jackson,"Plantation, Fla. ", Cypress Bay,2010,football
25,Antwuan Reed,"Johnstown, Pa. ", Greater Johnstown,2010,football
26,Kevin Adams,"Nyack, N.Y. ", St. Joseph Regional (NJ,2010,football
27,Marco Pecora,"Johnstown, Pa. ", Richland,2010,football
28,Garrett Tonio,"Monaca, Pa. ", Center,2010,football
29,K'Waun Williams,"Paterson, N.J. ", St. Joseph Regional,2010,football
30,Jason Hendricks,"Brooklyn, N.Y. ", Hudson Catholic (N.J.,2010,football
31,Ricky Gary,"Pahokee, Fla. ", Pahokee,2010,football
32,Aaron Hassett,"Moon Township, Pa. ", Moon Area,2010,football
33,Todd Gilcrist,"Harrisburg, Pa. ", Central Dauphin,2010,football
34,Henry Hynoski,"Elysburg, Pa. ", Southern Columbia Area,2010,football
35,Dion Lewis,"Albany, N.Y. ", Blair Academy (NJ,2010,football
36,Chris Burns,"New Wilmington, Pa. ", Wilmington Area,2010,football
37,Phil Peckich,"McKees Rocks, Pa. ", Montour,2010,football
38,Dan Hutchins,"Williamsport, Pa. ", Loyalsock Township,2010,football
39,Dom DeCicco,"Jefferson Hills, Pa. ", Thomas Jefferson,2010,football
40,Tristan Roberts,"Perkasie, Pa. ", Pennridge,2010,football
41,Brandon Lindsey,"Aliquippa, Pa. ", Aliquippa,2010,football
42,Manny Williams,"Clairton, Pa. ", Clairton,2010,football
43,Brett Zuck,"Shippenville, Pa. ", Keystone,2010,football
44,Derrick Burns,"New Wilmington, Pa. ", Wilmington Area,2010,football
45,Joe Capp,"Frisco, Texas ", Centennial,2010,football
46,Greg Williams,"Naples, Fla. ", Barron Collier,2010,football
47,Kevin Harper,"Mentor, Ohio ", Mentor,2010,football
48,Dan Mason,"Pittsburgh, Pa. ", Penn Hills,2010,football
49,Andrew Taglianetti,"Bridgeville, Pa. ", Pittsburgh Central Catholic,2010,football
50,Mark Giubilato,"Newtown Square, Pa. ", St. Joseph's Prep,2010,football
51,T.J. Peeler,"Ashburn, Va. ", Broad Run,2010,football
52,Nate Nix,"Jefferson Hills, Pa. ", Thomas Jefferson,2010,football
53,Tyler Tkach,"Slatington, Pa. ", Northern Lehigh,2010,football
54,Shayne Hale,"Monroeville, Pa. ", Gateway,2010,football
55,Andrew Devlin,"Pittsburgh, Pa. ", Mt. Lebanon,2010,football
56,Carl Fleming,"Reisterstown, Md. ", Franklin Senior,2010,football
57,Chris Mike,"West Haven, Conn. ", West Haven,2010,football
58,Adam Lazenga,"Bethel Park, Pa. ", Bethel Park,2010,football
59,Eric Williams,"Yardley, Pa. ", Pennsbury,2010,football
60,Tyrone Ezell,"Munhall, Pa. ", Steel Valley,2010,football
61,Bernardo Nunez,"Hoboken, N.J. ", Hoboken,2010,football
62,Lucas Nix,"Jefferson Hills, Pa. ", Thomas Jefferson,2010,football
63,Joe Trebitz,"Boca Raton, Fla. ", West Boca Raton,2010,football
64,Chris Jacobson,"Pittsburgh, Pa. ", Keystone Oaks,2010,football
65,Max Gruder,"Charlotte, N.C. ", Charlotte Country Day School,2010,football
66,Arthur Doakes,"Lebanon, Pa. ", Lebanon,2010,football
67,Aaron Donald,"Pittsburgh, Pa. ", Penn Hills,2010,football
68,Kevin Barthelemy,"Moon Township, Pa. ", Moon Area,2010,football
69,Shane Gordon,"Fort Lauderdale, Fla. ", Cypress Bay,2010,football
70,Greg Gaskins,"York, Pa. ", William Penn,2010,football
71,Alex Karabin,"Ruffs Dale, Pa. ", Air Force Prep (CO,2010,football
72,Brandon Sacco,"Long Valley, N.J. ", Don Bosco Prep,2010,football
73,Shane Johnson,"Fort Washington, Md. ", DeMatha Catholic,2010,football
74,Matt Rotheram,"North Olmsted, Ohio ", North Olmsted,2010,football
75,Jordan Gibbs,Lancaster. Pa. , Penn Manor,2010,football
76,Juantez Hollins,"Aliquippa, Pa. ", Aliquippa,2010,football
77,John Fieger,"Red Hill, Pa. ", Upper Perkiomen,2010,football
78,Jack Lippert,"Harrisburg, Pa. ", Central Dauphin,2010,football
79,Ryan Turnley,"Hopewell, Pa. ", Hopewell,2010,football
80,Ryan Schlieper,"Wexford, Pa. ", North Allegheny,2010,football
81,Jason Pinkston,"Pittsburgh, Pa. ", Baldwin,2010,football
82,Cory King,"Stoneboro, Pa. ", Lakeview,2010,football
83,Brendan Carozzoni,"Rocky River, Ohio ", St. Ignatius,2010,football
84,Brock DeCicco,"Jefferson Hills, Pa. ", Thomas Jefferson,2010,football
85,Jon Baldwin,"Aliquippa, Pa. ", Aliquippa,2010,football
86,Hubie Graham,"Scranton, Pa. ", West Scranton,2010,football
87,Ed Tinker,"Pittsburgh, Pa. ", Brashear,2010,football
88,Mike Shanahan,"North Huntingdon, Pa. ", Norwin,2010,football
89,Drew Carswell,"Pittsburgh, Pa. ", Sto-Rox,2010,football
90,T.J. Clemmings,"Teaneck, N.J. ", Paterson Catholic,2010,football
91,Greg Romeus,"Coral Springs, Fla. ", Coral Glades,2010,football
92,Justin Virbitsky,"Jermyn, Pa. ", Lakeland,2010,football
93,Matt Yoklic,"Gibsonia, Pa. ", Pine-Richland,2010,football
94,Bryan Murphy,"Washingtonville, N.Y. ", Don Bosco Prep (N.J.,2010,football
95,Myles Caragein,"Pittsburgh, Pa. ", Keystone Oaks,2010,football
96,Justin Hargrove,"Pittsburgh, Pa. ", Baldwin,2010,football
97,Jabaal Sheard,"Hollywood Hills, Fla. ", Hollywood Hills,2010,football
98,Chas Alecxih,"Lancaster, Pa. ", Penn Manor,2010,football
1,Corey Davis,"Gladwater, Texas ", Gladewater,2011,football
3,Nicholas Grigsby,"Trotwood, Ohio ", Trotwood-Madison,2011,football
4,Darius Patton,"Poland, Ohio ", Poland Seminary,2011,football
5,Zach Brown,"Royal Palm Beach, Fla. ", Royal Palm Beach,2011,football
6,Ejuan Price,"Rankin, Pa. ", Woodland Hills,2011,football
9,Roderick Ryles,"Orlando, Fla. ", Dr. Phillips,2011,football
10,Malcolm Crockett,"Takoma Park, Md. ", Friendship Collegiate Academy,2011,football
14,Ray Vinopal,"Youngstown, Ohio ", Cardinal Mooney,2011,football
15,Trey Anderson,"Pearland, Texas ", Pearland,2011,football
16,LaQuentin Smith,"Orlando, Fla. ", Dr. Phillips,2011,football
21,Ronald Jones,"Fort Meade, Fla. ", Fort Meade,2011,football
23,Brendon Felder,"Lynn, Mass. ", Gateway (Pa.,2011,football
27,Joshua Brinson,"Homestead, Fla. ", South Dade,2011,football
31,Lafayette Pitts,"Duquesne, Pa. ", Woodland Hills,2011,football
32,Desmond Brown,"Miami, Fla. ", Miami Norland,2011,football
33,Cullen Christian,"Pittsburgh, Pa. ", Penn Hills,2011,football
35,Jason Frimpong,"Irving, Texas ", MacArthur,2011,football
36,Lloyd Carrington,"Dallas, Texas ", Lincoln,2011,football
39,Steve Williams,"Savannah, Ga. ", Calvary Day School,2011,football
40,Randy Morris,"Cranberry Twp., Pa. ", Seneca Valley,2011,football
42,Isaac Bennett,"Tulsa, Okla. ", Booker T. Washington,2011,football
44,E.J. Banks,"Pittsburgh, Pa. ", Montour,2011,football
56,Kris Wildman,"Champion, Ohio ", Champion,2011,football
66,Tom Ricketts,"Pittsburgh, Pa. ", North Allegheny,2011,football
68,Artie Rowell,"Harrisburg, Pa. ", Central Dauphin,2011,football
78,Zenel Demhasaj,"Brooklyn, N.Y. ", New Utrecht,2011,football
82,Justin Jackson,"Daphne, Ala. ", Daphne,2011,football
85,Sam Collura,"Elkridge, Md. ", DeMatha Catholic,2011,football
89,Chris Yankoski,"Plum, Pa. ", Plum,2011,football
91,Devin Cook,"Beaver Falls, Pa. ", Beaver Falls,2011,football
95,Khaynin Mosley-Smith,"Pittsburgh, Pa. ", Woodland Hills,2011,football
2,Bam Bradley,"Dayton, Ohio ", Trotwood-Madison,2012,football
3,Rushel Shell,"Hopewell, Pa. ", Hopewell,2012,football
6,Brad Lukasak,"Orwigsburg, Pa. ", Blue Mountain,2012,football
10,Jahmahl Pardner,"Rochester, N.Y. ", Aquinas Institute,2012,football
11,Deaysean Rippy,"McKees Rocks, PA ", Sto-Rox,2012,football
14,Chad Voytik,"Cleveland, Tenn. ", Cleveland,2012,football
15,Jevonte Pitts,"Forest Hills, Pa. ", Woodland Hills,2012,football
16,Chris Wuestner,"Carlisle, Pa. ", Carlisle,2012,football
17,Tom Savage,"Springfield, Pa. ", Cardinal O'Hara,2012,football
18,Ethan Brown,"Royersford, Pa. ", The Haverford School,2012,football
20,Chris Davis,"Austintown, Ohio ", Austintown Fitch,2012,football
26,Mike Caprara,"Turtle Creek, Pa. ", Woodland Hills,2012,football
27,Trenton Coles,"Clairton, Pa. ", Clairton,2012,football
32,Keegan Buck,"Henderson, Nev. ", Foothill,2012,football
33,David Durham,"Charlotte, N.C. ", Charlotte Christian,2012,football
34,Ryan Lewis,"Seattle, Wash. ", Eastlake,2012,football
35,Anthony Rippole,"McKees Rocks, Pa. ", Montour,2012,football
36,Pat Fisher,"Rutledge, Pa. ", Strath Haven,2012,football
41,Devon Porchia,"Parkville, Md. ", Gilman School,2012,football
45,Terrell Jackson,"Columbus, Ohio ", Marion-Franklin,2012,football
49,Pat Quirin,"Pittsburgh, Pa. ", Pittsburgh Central Catholic,2012,football
51,John Guy,"Somerville, Mass. ", New Hampton School (N.H.),2012,football
53,David Murphy,"Buffalo, N.Y. ", St. Francis,2012,football
54,Adam Bisnowaty,"Pittsburgh, Pa. ", Fox Chapel,2012,football
56,Gabe Roberts,"New London, Wis. ", New London,2012,football
62,Demitrious Davis,"Austintown, Ohio ", Austintown Fitch,2012,football
64,J.P. Holtz,"Pittsburgh, Pa. ", Shaler Area,2012,football
67,Darryl Render,"Cleveland, Ohio ", St. Edward,2012,football
9,Chris Blewitt,"Alexandria, Va. ", West Potomac,2013,football
10,Dontez Ford,"McKees Rocks, Pa. ", Sto-Rox,2013,football
12,Reggie Mitchell,"Pittsburgh, Pa. ", Shady Side Academy,2013,football
16,Titus Howard,"Clairton, Pa. ", Clairton,2013,football
17,Terrish Webb,"Clairton, Pa. ", Clairton,2013,football
21,Tyler Boyd,"Clairton, Pa. ", Clairton,2013,football
28,Rachid Ibrahim,"Rockville, Md. ", Avalon,2013,football
30,Jaymar Parrish,"Monroeville, Pa. ", Gateway,2013,football
34,Trent Neavin,"Martins Ferry, Ohio ", Martins Ferry,2013,football
35,Michael Dunn,"Pittsburgh, Pa. ", Bishop Canevin,2013,football
40,James Conner,"Erie, Pa. ", McDowell,2013,football
44,Colton Lively,"Lake Dallas, Texas ", Lake Dallas,2013,football
45,Devon Edwards,"Columbus, Ohio ", Eastmoor Academy,2013,football
47,Matt Galambos,"Collingdale, Pa. ", The Haverford School,2013,football
49,Zach Poker,"Oconomowoc, Wis. ", Oconomowoc,2013,football
51,Nico Elms,"Gibsonia, Pa. ", Pine-Richland,2013,football
53,Jacob Craig,"Berlin, Pa. ", Berlin Brothersvalley,2013,football
54,Shakir Soto,"Wilkes-Barre, Pa. ", G.A.R. Memorial,2013,football
55,Dorian Johnson,"Belle Vernon, Pa. ", Belle Vernon Area,2013,football
56,Tyrique Jarrett,"Pittsburgh, Pa. ", Taylor Allderdice,2013,football
57,Luke Maclean,"Grand Blanc, Mich. ", Grand Blanc,2013,football
58,Justin Moody,"Philadelphia, Pa. ", George Washington,2013,football
62,Aaron Reese,"Chambersburg, Pa. ", Chambersburg Area,2013,football
65,Alex Officer,"Rochester, N.Y. ", Eastridge,2013,football
72,Carson Baker,"Fairborn, Ohio ", Fairborn,2013,football
74,Jaryd Jones-Smith,"Camden, N.J. ", West Catholic (PA),2013,football
75,Jeremy Gonzales,"Wexford, Pa. ", North Allegheny,2013,football
78,Zach Challingsworth,"McDonald, Pa. ", South Fayette,2013,football
79,Tony Harper,"Toledo, Ohio ", St. John's Jesuit,2013,football
80,Manasseh Garner,"Pittsburgh, Pa. ", Brashear,2013,football
81,Scott Orndoff,"Waynesburg, Pa. ", Seton-La Salle,2013,football
83,Jester Weah,"Madison, Wis. ", Madison Memorial,2013,football
85,Reggie Green,"Cranford, N.J. ", Cranford,2013,football
88,Ryan Winslow,"Maple Glen, Pa. ", La Salle College H.S.,2013,football
92,Jeremiah Taleni,"Kaneohe, Hawaii ", Kailua,2013,football
3,Chris James,"Chicago, Ill. ",,2014,football
6,Adam Bertke,"Maria Stein, Ohio ", Marion Local,2014,football
7,Adonis Jennings,"Sicklerville, N.J. ", Timber Creek,2014,football
13,Avonte Maddox,"Detroit, Mich. ", Martin Luther King,2014,football
17,Joe Repischak,"Pittsburgh, Pa. ", Upper St. Clair,2014,football
20,Dennis Briggs,"Wilkinsburg, PA ", Shady Side Academy,2014,football
22,Khari Anderson,"Aurora, Ohio ", Hawken School,2014,football
23,Jameel Poteat,"Harrisburg, Pa. ", Bishop McDevitt,2014,football
26,Pat Amara,"Philadelphia, Pa. ", West Catholic,2014,football
27,Joey Brungo,"New Kensington, Pa. ", Kiski Area,2014,football
30,Elijah Zeise,"Pittsburgh, PA ", North Allegheny,2014,football
32,Oluwaseun Idowu,"Wexford, PA ", North Allegheny,2014,football
35,Jordan Jones,"Aurora, Ill. ", Joliet Catholic Academy,2014,football
36,Phillipie Motley,"Columbus, OH ", Hilliard Davidson,2014,football
38,George Aston,"Stephens City, VA ", Sherando,2014,football
39,Jalen Williams,"Newburgh, N.Y. ", Newburgh Free Academy,2014,football
41,Qadree Ollison,"Niagara Falls, NY ", Canisius H.S.,2014,football
42,Kyle Brown,"Geneva, Ill. ",,2014,football
44,Jaquaun Davidson,"Elizabeth, Pa. ", Elizabeth Forward,2014,football
45,James Folston Jr.,"Cocoa, FL ", Cocoa,2014,football
51,Nick Goldsmith,"Dyer, Ind. ", St. Rita of Cascia (Ill.),2014,football
54,Kellen McAlone,"Dallas, TX ", Jesuit College Prep,2014,football
57,Cory Huddleston,"Burke, Va. ", Lake Broddock Secondary School,2014,football
58,Dominic Cuono,"Tampa, Fla. ", Carrollwood Day School,2014,football
59,Mike Grimm,"Bethel Park, Pa. ", Bethel Park,2014,football
63,Brian Popp,"Loveland, Ohio ", Loveland,2014,football
68,Quintin Wirginis,"Pittsburgh, PA ", Fox Chapel,2014,football
69,Jamal II,"Canton, Ohio ", Canton McKinley,2014,football
75,Mike Herndon,"Greenville, VA ", Riverheads,2014,football
76,Alec Maternowski,"Slinger, Wis. ", Slinger,2014,football
80,Connor Hayes,"Traverse City, Mich. ", Traverse City West,2014,football
85,Connor Dintino,"Mashpee, MA ", Choate Rosemary Hall (CT),2014,football
86,Alex Galiyas,"Dexter, Mich. ", Detroit Catholic Central,2014,football
87,Alex Bookser,"Pittsburgh, PA ", Mt. Lebanon,2014,football
92,Brian O'Neill,"Wilmington, Del. ", Salesianum School,2014,football
97,Hez Trahan,"Philadelphia, Pa. ", Roman Catholic,2014,football
99,Rori Blair,"Pittsburgh, Pa. ", Upper St. Clair,2014,football
100,Shane Roy,"Reading, OH ", Reading,2014,football
0,Tre Tipton,"Apollo, PA ", Apollo-Ridge,2015,football
2,Ben DiNucci,"Wexford, Pa. ", Pine-Richland,2015,football
5,Nathan Peterman,"Jacksonville, Fla. ", Bartram Trail,2015,football
10,Dewayne Hendrix,"O'Fallon, IL ", O'Fallon Township,2015,football
11,Manny Stocker,"Coatesville, Pa. ", Coatesville,2015,football
12,Jordan Whitehead,"Aliquippa, Pa. ", Central Valley,2015,football
13,Quadree Henderson,"Wilmington, Del. ", Alexis I. du Pont,2015,football
14,Nathan Bossory,"Manchester, Mich. ", Chelsea,2015,football
15,Dane Jackson,"Coraopolis, PA ", Cornell (Quaker Valley),2015,football
24,Malik Henderson,"Plantation, Fla. ", Hallandale,2015,football
26,Darrin Hall,"Youngstown, OH ", Austintown Fitch,2015,football
30,Nico Lodovico,"Murrysville, Pa. ", Franklin Regional,2015,football
31,Anthony McKee Jr.,"Columbus, OH ", Marion-Franklin,2015,football
38,Mark Bernsdorff,"Sylvania, Ohio ", Sylvania Northview,2015,football
43,Saleem Brightwell,"Paterson, NJ ", Paramus Catholic,2015,football
49,Joey Kerle,"Harrisburg, PA ", Bishop McDevitt,2015,football
50,Jazzee Stocker,"Coatesville, PA ", Coatesville Area,2015,football
51,Matt Steinbeck,"Pittsburgh, Pa. ", Bucknell,2015,football
54,Rimoni Dorsey,"Richmond, VA ", Trinity Episcopal School,2015,football
58,Alec Schuster,"Matthews, N.C. ", Weddington,2015,football
59,Dom Cuono,"Tampa, Fla. ", Carrollwood Day School,2015,football
61,Jim Medure,"New Castle, PA ", Neshannock,2015,football
69,Tony Pilato,"Greensburg, Pa. ", Hempfield Area,2015,football
74,Aaron Britton,"Washington, Pa. ", Trinity,2015,football
77,Kyle Benbrook,"Washington, N.J. ", Bethlehem Catholic (Pa.),2015,football
79,Calvin Hamilton,"Philadelphia, Pa. ", E. Christian (Md.),2015,football
83,Alex Paulina,"Canonsburg, Pa. ", Canon-McMillan,2015,football
90,Rafael Araujo-Lopes,"Kissimmee, FL ", Winter Park,2015,football
95,Gentry Ivery,"Mansfield, Texas ", Mansfield Legacy,2015,football
101,Allen Edwards,"Miami, Fla. ", Immaculata-La Salle,2015,football
102,Mark Scarpinato,"Milwaukee, Wis. ", Michigan St.,2015,football
2,Damar Hamlin,"McKees Rocks, PA ", Pittsburgh Central Catholic,2016,football
8,Aaron Mathews,"Clairton, PA ", Clairton,2016,football
9,Thomas MacVittie,"Cincinnati, Ohio ", Moeller,2016,football
10,Henry Miller,"Kissimmee, Fla. ", Gateway,2016,football
14,Keyshon Camp,"Lakeland, FL ", Lake Gibson,2016,football
16,Ruben Flowers III,"Lima, Ohio ", Lima Senior,2016,football
19,Bo Schneider,"Dallas, Texas ", Dallas Jesuit,2016,football
22,Therran Coleman,"Pittsburgh, PA ", Brashear,2016,football
23,Rashad Weaver,"Fort Lauderdale, FL ", Cooper City,2016,football
30,Phil Campbell III,"Kendall Park, NJ ", South Brunswick,2016,football
32,Maurice Ffrench,"New Brunswick, NJ ", New Brunswick,2016,football
34,Chawntez Moss,"Cleveland, Ohio ", Bedford,2016,football
35,Bricen Garner,"Pittsburgh, PA ", Pittsburgh Central Catholic,2016,football
41,Kaezon Pugh,"Aliquippa, Pa. ", Aliquippa,2016,football
44,Amir Watts,"Chicago, IL ", Wendell Phillips Academy,2016,football
46,Rob Boatright,"Clairton, Pa. ", Clairton,2016,football
47,Chase Pine,"Williamsburg, VA ", Lafayette,2016,football
48,Shawn Wood,"New Castle, Del. ", William Penn,2016,football
50,Erik Sellers,"Clearfield, Pa. ", Clearfield Area,2016,football
53,Kyle Vreen,"Aliquippa, PA ", Central Valley,2016,football
58,Elias Reynolds,"Brooklyn, NY ", Poly Prep Country Day School,2016,football
62,Michael Vardzel,"Charleston, SC ", Wando,2016,football
71,Justin Morgan,"Bronx, NY ", Poly Prep Country Day School,2016,football
72,Conrad Brake,"Rochester, N.Y. ", Aquinas Institute,2016,football
74,Brandon Ford,"Pittsburgh, PA ", Upper St. Clair,2016,football
75,Jake Knight,"Flint, Mich. ", Powers Catholic,2016,football
84,Jimmy Morrissey,"Huntingdon Valley, PA ", La Salle College H.S.,2016,football
89,Bryce Hargrove,"Akron, OH ", Coventry,2016,football
101,Chris Clark,"Ridgewood, N.J. ", Avon Old Farms (Conn.),2016,football
102,Rashad Wheeler,"Pittsburgh, PA ", Pittsburgh Central Catholic,2016,football
103,Patrick Jones II,"Chesapeake, VA ", Grassfield,2016,football
107,Zack Gilbert,"Charlotte, N.C. ", South Mecklenburg,2016,football
109,Alex Kessman,"Clarkston, MI ", Clarkston,2016,football
110,DeAndre Schifino,"Penn Hills, Pa. ", Penn Hills,2016,football
3,Max Browne,"Sammamish, Wash. ", Skyline,2017,football
5,Kam Carter,"Germantown, Md. ", Gaithersburg,2017,football
12,Kenny Pickett,"Oakhurst, NJ ", Ocean Township,2017,football
13,Michael Smith,"Vero Beach, FL ", Vero Beach Senior,2017,football
18,Paris Ford,"Pittsburgh, PA ", Steel Valley,2017,football
20,Jason Pinnock,"Windsor, CT ", Windsor,2017,football
21,Damarri Mathis,"Lakeland, FL ", Lakeland,2017,football
24,Charles Reeves Jr.,"Steubenville, Ohio ", Steubenville,2017,football
25,Jake Zilinskas,"Indiana, PA ", Indiana,2017,football
27,A.J. Davis Jr.,"Lakeland, FL ", Lakeland,2017,football
30,Kollin Smith,"Upper Marlboro, MD ", Frederick Douglass,2017,football
32,Todd Sibley Jr.,"Akron, OH ", Archbishop Hoban,2017,football
38,Albert Tucker,"Plantation, FL ", St. Thomas Aquinas,2017,football
48,Cam Bright,"Montgomery, AL ", Park Crossing,2017,football
59,Kyle Nunn,"Findlay, OH ", Findlay,2017,football
60,Ryan Sliwoski,"Greensburg, PA ", Hempfield Area,2017,football
61,Peyton Deri,"North Huntingdon, PA ", Norwin,2017,football
64,Ian Troost,"Portsmouth, N.H. ", Portsmouth,2017,football
69,Jaylen Twyman,"Washington, D.C. ", H.D. Woodson,2017,football
71,Gabe Houy,"Pittsburgh, PA ", Upper St. Clair,2017,football
72,Brandon Hodges,"Aberdeen, Miss. ", Aberdeen,2017,football
74,Carson Van Lynn,"Worthington, OH ", Worthington Kilbourne,2017,football
75,Owen Drexel,"Montclair, NJ ", Montclair,2017,football
76,Cal Adomitis,"Pittsburgh, PA ", Pittsburgh Central Catholic,2017,football
80,Brian Burgess,"Charleroi, PA ", Charleroi,2017,football
81,Kenny Rainey III,"Aliquippa, PA ", Aliquippa,2017,football
85,Jerry Drake Jr.,"Palm Beach Gardens, FL ", Palm Beach Gardens,2017,football
87,Carter Warren,"Paterson, NJ ", Passaic Tech,2017,football
89,Dontavius Butler-Jenkins,"Hollywood, FL ", American Heritage School,2017,football
92,Darian Street,"Bethlehem, PA ", Liberty,2017,football
93,Garrett Bickhart,"Liberty, PA ", North Penn-Mansfield,2017,football
94,Grant Carrigan,"Las Vegas, NV ", Pine-Richland (PA),2017,football
96,Julian Desiré,"Uniondale, N.Y. ", Uniondale,2017,football
97,Tyler Sear,"New Castle, PA ", Neshannock,2017,football
99,Matt Flanagan,"Chester, N.J. ", West Morris Mendham,2017,football
102,Jake Scarton,"Hermitage, PA ", Hickory,2017,football
104,Greg Sizemore,"Greene County, Va. ", William Monroe,2017,football
106,Deslin Alexandre,"Pompano Beach, FL ", Deerfield Beach,2017,football
108,Kirk Christodoulou,"Melbourne, Australia ", Balwyn,2017,football
1,David Green,"West Mifflin, PA ", Pittsburgh Central Catholic,2018,football
2,Jeff George Jr.,"Indianapolis, IN ", Warren Central,2018,football
5,Nick Patti,"Hillsdale, NJ ", St. Joseph Regional,2018,football
9,John Morgan III,"Upper Marlboro, MD ", DeMatha Catholic,2018,football
10,Mychale Salahuddin,"Washington, D.C. ", H.D. Woodson,2018,football
17,Will Gragg,"Dumas, AR ", Dumas,2018,football
19,Taysir Mack,"Brooklyn, NY ", Grand Street Campus,2018,football
21,Ricky Town,"Newbury Park, CA ", St. Bonaventure,2018,football
22,Marquis Williams,"Pompano Beach, FL ", Cardinal Gibbons,2018,football
24,Justin Sliwoski,"Greensburg, PA ", Hempfield Area,2018,football
25,Jake Cortes,"McMurray, PA ", Peters Township,2018,football
28,Shocky Jacques-Louis,"Fort Myers, FL ", Dunbar,2018,football
29,V'Lique Carter,"West Palm Beach, FL ", Oxbridge Academy,2018,football
39,Judson Tallandier II,"Largo, MD ", DeMatha Catholic,2018,football
44,Erick Hallett II,"Cypress, TX ", Cy-Fair,2018,football
46,Jason Edwards,"Bluefield, WV ", Bluefield,2018,football
49,Chase Villani,"Pittsburgh, PA ", Fox Chapel,2018,football
51,Cole Blake,"Crescent, PA ", Moon Area,2018,football
52,Jackson Henry,"Perkasie, PA ", Pennridge,2018,football
54,Wendell Davis,"Richmond, VA ", Benedictine College Prep,2018,football
